job_role,title,description,tags,new_title

data scientist,Data Scientist - Python - BFS - IIT/DSE/IIM/NIT (2-5 yrs),"<p>Data Scientist-IIT/DSE/IIMS 
<br/>
<br/>Looking for self-driven Python data scientists having 1-4 years of experience of coding in Python. 
<br/>
<br/>Must have knowledge in the following areas : 
<br/>
<br/>-  Data Structures, Lists, Tuples & Dictionaries 
<br/>
<br/>-  Familiarity with pandas, numpy, scikit-learn & scipy 
<br/>
<br/>-  Basics of Visualization tools & techniques - maptlotlib, seaborn 
<br/>
<br/>- Text mining techniques and libraries in Python, e.g. NLTK basics 
<br/>
<br/>-  Modelling techniques e.g. Regression (Linear and logit), Classification (SVM, NaiveBayes,etc.) 
<br/>
<br/>- Knowledge of PySpark and Hbase.</p>","['Python', 'Data Scientist', 'Data Science', 'Data Science', 'Data Modeling', 'Data Visualization']",data scientist python bfs iit dse iim nit yrs

data scientist,Senior Manager - Data Scientist - Banking Domain - IIT/NIT/BITS (8-12 yrs),"<p>Job Description
<br/>
<br/>We are looking for a Data Scientist that will help us discover the information hidden in vast amounts of Banking data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high-quality prediction systems integrated with our products. You should be able to -  automate scoring using machine learning techniques-,  -  build recommendation systems-,  -  improve and extend the features used by our existing classifier-,  -  develop internal A/B testing procedures-,  -  build system for automated fraud detection-,  etc.
<br/>
<br/>Responsibilities
<br/>
<br/>-  Selecting features, building and optimizing classifiers using machine learning techniques
<br/>
<br/>-  Data mining using state-of-the-art methods
<br/>
<br/>-  Extending company's data with third-party sources of information when needed
<br/>
<br/>-  Enhancing data collection procedures to include information that is relevant for building analytic systems
<br/>
<br/>-  Processing, cleansing, and verifying the integrity of data used for analysis
<br/>
<br/>-  Doing ad-hoc analysis and presenting results in a clear manner
<br/>
<br/>-  Creating automated anomaly detection systems and constant tracking of its performance
<br/>
<br/>Skills and Qualifications :
<br/>
<br/>-  Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.
<br/>
<br/>-  Experience with common data science toolkits, such as R, Python(preferred), Weka, NumPy, MatLab, etc {{depending on specific project requirements}}. Excellence in at least one of these is highly desirable
<br/>
<br/>-  Great communication skills
<br/>
<br/>-  Experience with data visualisation tools, such as D3.js, GGplot, Tableau etc.
<br/>
<br/>-  Proficiency in using query languages such as SQL(preferable), Hive, Pig
<br/>
<br/>-  Good applied statistics skills, such as distributions, statistical testing, regression, etc.
<br/>
<br/>-  Good scripting and programming skills (python)
<br/>
<br/>-  Data-oriented personality
<br/>
<br/>-  May work hand in hand with Python/R as per requirement of the business
<br/>
<br/>-  Bachelor in Technology from Top Engineering Colleges(IITs, NITs Etc.) with Minimum 8 yrs. of Experience</p>","['Data Scientist', 'Data Science', 'Data Management', 'Machine Learning', 'data mining', 'Python', 'Tableau', 'SQL', 'Statistics', 'Data Analytics']",senior manager data scientist banking domain iit nit bits yrs

data scientist,Amazon - Data Scientist (2-6 yrs),"<p><p>- Data Scientist Amazon strives to be Earth's most customer-centric company where people can find and discover virtually anything they want to buy online. By giving customers more of what they want - low prices, vast selection, and convenience - Amazon continues to grow and evolve as a world-class e-commerce platform. Amazon Seller Services India offers services to sellers to grow multi-channel commerce. See http://services.amazon.in for details of products and services in India. <br><br>- Amazon is seeking a creative, dynamic and motivated Data Scientist based in Bangalore, India, to support the Seller Services Sales &amp; Business Development Team. The individual is expected to help support the business through development of metrics and reporting solutions, data manipulation and in-depth analysis, apart from focusing on market trends and competitor analysis. This role will be commence as an individual contributor role but would eventually develop to manage a team supporting several diverse and quickly growing teams within the Seller Services Org at Amazon India <br><br>Role details : <br><br>- As a Data scientist, you play a leadership role in your team driving statistical and machine learning -  they look to you for advice on analytical and business issues facing them. You are right, a lot. You get a lot done. You work very efficiently and routinely deliver the right things.</p><p><br></p><p>- You have a department-wide view of the analytical solutions that you build, and you consistently think in terms of automating or expanding the results company-wide. You have performed multiple large, complex, and business critical analyses that serve major parts of the business.</p><p><br></p><p>- Your work and your approach to work are exemplary -  you drive best practices and set standards for your team. Other analytical individuals in your department regard you as an expert in one or more analytical areas.&nbsp;</p><p><br></p><p>- You provide advice and mentoring to other team members especially BA's and BIE. You are a key influencer in your team's strategy and contribute significantly to team planning. You show good judgement making technical trade-offs between your group's short term and long term business needs, and the needs of the company as a whole. When confronted with discordant views, you find the best way forward and convince your team.&nbsp;</p><p><br></p><p>- You are vocally self-critical. You proactively contribute to knowledge-sharing across the Amazon analytical community. You demonstrate resilience and navigate difficult situations with composure and tact. <br><br>- Amazon has a culture of data-driven decision-making, and demands business intelligence that is timely, accurate, and actionable. Our environment is very fast-paced, and requires someone who is flexible, detail-oriented, passionate about the customer and comfortable working with numerous stakeholders across the organization and worldwide.<br><br>Basic Qualifications -&nbsp;<br><br>-  Bachelor's degree in Math, Finance, Statistics, Engineering or related discipline<br><br>-  2+ years of professional experience in analytics, data science, machine learning or comparable consumer analytics position<br><br>-  Experience in leading analytical teams and experience of planning and implementing analytical and reporting projects in a fast-paced environment<br><br>-  Demonstrated project management skills<br><br>-  Expert skills in Microsoft Excel, SQL, R, Python, Statistical tools, data mining experience.<br><br>-  Working knowledge of Data science tools.<br><br>-  Ability to deal with ambiguity and competing objectives<br><br>-  Top notch communication skills to convey key insights from complex analysis in summarized business terms<br><br>-  Good team player and the ability to work with a wide cross-section of people in various locations<br><br>Impeccable attention to detail, passion for processes and systems<br><br>Preferred Qualifications -&nbsp;<br><br>-  Ability to quickly adapt to changing priorities and generate innovative solutions in an extremely fast-paced environment<br><br>-  Demonstrated ability to frame complex analytical problems and extract insights that led to tangible business results<br><br>-  Proven written and verbal communication skills<br><br>-  Experience reporting compelling and concise data insights to leadership<br><br>-  Advanced degree preferred (statistics, mathematics, computer science)</p><p><br></p><p>Amazon is an equal opportunity employer. Amazon or its Recruitment Partners do not charge any fee or security deposit from the candidate for offering employment.<br></p></p>","['Data Management', 'Data Scientist', 'Data Science', 'Statistics', 'Machine Learning', 'Data Analytics', 'Analytics', 'SQL', 'Python', 'data mining']",amazon data scientist yrs

data scientist,Lead Data Scientist - Product Firm (3-11 yrs),"<p><p>We are looking for a Data Scientist, who can design, develop and evaluate predictive ML/AI models that are on par with industry standards &amp; define metrics that measure success &amp; customer value delivery.<br><br>&nbsp;Responsibilities:<br><br>-  Ability to tailor ML solutions to business problems across domains of company's products i.e. support, sales, bots, chat, voice etc.<br><br>-  Apply knowledge of ML, statistics, programming and advanced mathematics to recognize patterns &amp; identify new opportunities for prototype building.<br><br>-  Design, develop and evaluate predictive ML/AI models that are on par with industry standards &amp; define metrics that measure success &amp; customer value delivery.<br><br>-  Work with engineers to translate prototypes into new products, services, and features and provide guidelines for large-scale implementation of the same.<br><br>-  Research, Recommend and implement best practices of machine learning systems that can scale.<br><br>-  Stay current with the recent advancements in ML/AI industry like tensorflow &amp; actively prototype with these open-source frameworks.<br><br>-  Participate in internal &amp; external technology &amp; data science forums, competitions, conferences &amp; discussions<br><br>Requirements:<br><br>-  Strong working knowledge in Python.<br><br>-  Strong at collecting, cleansing and reshaping unstructured/raw datasets.<br><br>-  Strong understanding of ML concepts - Probabilistic Models, Supervised and Unsupervised Learning, Neural Networks &amp; Deep learning, Ensembling.<br><br>-  Solid understanding of mathematical underpinnings behind Machine Learning algorithms such as Probability, Statistics, Linear Algebra.<br><br>-  Exposure to Optimization Techniques will be a big plus.<br><br>-  Hands-on experience in Natural Language Processing and Text Analysis Solid engineering and coding skills.<br><br>-  Ability to write high-performance code.<br><br>-  Hands on experience with deployment and maintenance of machine learning models at scale.<br><br>-  Experience working with Big Data technologies like Hadoop, Hive etc<br><br>-  Active Participation in Kaggle competitions.<br><br>-  Exposure to recent developments in Deep Learning domain.<br><br>-  Exposure to libraries such as theano, tensorflow, keras, torch, caffe etc.<br></p></p>","['Data Scientist', 'Machine Learning', 'Artificial Intelligence', 'Python', 'NLP', 'Data Science', 'Data Management', 'Statistics', 'Big Data', 'Data Analytics']",lead data scientist product firm yrs

cloud,SAP Solution Architect - HANA Cloud (12-25 yrs),"<p><p><p>We have a leadership opportunity for SAP Solution Architect-HANA Cloud with one of our client for Mumbai/Bengaluru/Pune location. <br/><br/>Job Description:<br/><br/>Responsibilities-<br/><br/>Build solutions with business on SAP cloud platform and play the role of a technology evangelist<br/><br/>- Strong understanding of the technology direction / roadmap of SAP on Cloud<br/><br/>- Experience of having worked on HANA Cloud platform, HCI, IOT solutions.<br/><br/>- Build expertise of integration with other cloud applications<br/><br/>- Establish our point of view on data migration to Cloud products<br/><br/>- Excellent understanding of different models on how services can be delivered with cloud platforms<br/><br/>- Support pre-sales opportunities /solutioning. <br/><br/> Skills and Experience-  <br/><br/>- Good exp in SAP experience in consulting / solutions<br/><br/>- Expertise on SAP Cloud platform, hands on experience of developing and delivering solutions<br/><br/>-  Should have worked on the new generation of solutions on SAP Technology -  HCP, HCI, Integration with other cloud applications<br/><br/>- Should have experience on engaging directly with customers<br/><br/>- Ability to build and work with a core group of SAP technology consultants<br/><br/>- Excellent communication skills, both verbal & oral and presentation capabilities.<br/><br/>- Ready to travel up to 30 % of the time<br/><br/>- Experienced in client senior management interactions</p></p></p>","['Solution Design', 'Solution Architect', 'SAP HANA', 'SAP Services', 'IT Consulting']",sap solution architect hana cloud yrs

cloud,Enterprise Sales Professional - Cloud Based Product - US/Europe Region - US Shift (2-10 yrs),"<p><p><p>Strictly Looking for Sales individuals purely from the Software Product companies with experience in selling software products to the US/European region.<br/><br/>Job Description<br/><br/>The enterprise sales representative will be selling cloud based product addressing international geographies like US & Europe. The primary goal is to convert leads into successful sales via presentation, product demonstration and hand-holding during pilot.<br/><br/>- Excellent communication skills (English-oral & written) is a must. <br/><br/>- Should be dynamic with a track record of meeting or exceeding assigned individual quota. <br/><br/>- Effectively and independently deliver the value proposition, demonstrating the product. <br/><br/>- Conduct online product demos and presentations with prospects. <br/><br/>- Willing to work in different time zones. <br/><br/>- Experience in end to end sales (lead generation, lead qualification & lead closure) is a must<br/><br/>Salary offered: 12 - 18 LPA</p></p></p>","['IT Sales', 'IT Product Sales', 'Account Management', 'B2B Sales', 'Corporate Sales', 'International Sales']",enterprise sales professional cloud based product us europe region us shift yrs

cloud,Director - Sales - Marketing Cloud Technology Products -  IIM (10-18 yrs),"<p>Sales Director - Marketing Cloud
<br/>
<br/>ROLE : Sales Director - Global 
<br/>
<br/>LOCATION : Bangalore 
<br/>
<br/>Qualifications: MBA from IIM 
<br/>
<br/>BROAD RESPONSIBILITIES: 
<br/>
<br/>1. Drive revenue and growth for Customer Analytics and Marketing portfolio of products for Retail / CPG domain. 
<br/>
<br/>2. Identify, develop and qualify sales opportunities with the sole focus of meeting revenue targets in a timely, reliable and consistent manner. 
<br/>
<br/>3. Manage the entire Sales life cycle from lead generation to closure. This would include the following: 
<br/>
<br/>a. Market development and lead generation 
<br/>
<br/>b. Prospect development, Identifying and qualifying opportunities 
<br/>
<br/>c. Understanding business and technology scenario/needs and product demonstrations 
<br/>
<br/>d. Preparation of proposals 
<br/>
<br/>e. Final negotiation and closure 
<br/>
<br/>4. Will assist the Sr. Vice President in architecting and implementing strategies for business development and will have complete responsibility inclusive of customer/sector identification, strategy and account management for the region. 
<br/>
<br/>RELEVANT EXPERIENCE FOR THE ROLE: 
<br/>
<br/>1. Possess experience in selling marketing technologies, such a marketing clouds, campaign management, customer analytics etc . 
<br/>
<br/>2. Experience of selling marketing and/or analytics solutions in the SaaS model . 
<br/>
<br/>3. Experienced in engaging with C-level executives in Marketing and technology.. 
<br/>
<br/>4. Should have sold deals with a TCV of about $500K. 
<br/>
<br/>5. Possess strong understanding and relationships in the marketing domain. 
<br/>
<br/>6. Experience of working with geographically diverse/distributed teams. 
<br/>
<br/>ESSENTIAL QUALIFIERS FOR THIS ROLE: 
<br/>
<br/>1. Good knowledge and experience of the Customer and Marketing Analytics markets. 
<br/>
<br/>2. New business hunter mentality with experience of prospecting, marketing support lead generation, direct selling to end user clients and also via partners. 
<br/>
<br/>3. Excellent communicative skills both verbally and in written form. 
<br/>
<br/>4. Self-starter with the ability to work independently. 
<br/>
<br/>5. Has strong executive presence, good customer skills and an extrovert personality.</p>","['IT Sales', 'IT Sales Head', 'SaaS', 'IT Product Sales', 'Solutions Sales', 'Analytics Solutions Sales', 'Account Management']",director sales marketing cloud technology products iim yrs

cloud, Consultant/Senior Consultant - Cloud Strategy - Big4 (3-8 yrs),"<p><p></p><p></p><p>- Must have experience in Cloud Architecture and Planning<br><br></p><p>- Must be a part of team working for roadmap and architectural design to the clients<br><br></p><p>- Provide Infrastructure optimization<br><br></p><p>- Cloud Migration Process<br><br></p><p>- Cloud Enablement<br><br></p><p>- Infrastructure Optimization<br><br></p><p>- Atleast 3 yrs experience in Cloud solutions <br><br></p><p>- Will be a client facing role.<br><br></p><p>- Understanding of different backup, replication, disaster recovery and high availability technologies<br><br></p><p>- Excellent verbal and written communication skill<br><br></p><p>- Knowledge on Cloud migration processes -  refactoring, re-platforming and re-hosting. <br><br></p><p>- Must have Masters degree from Tier I/II colleges.<br><br>Must have 3-8 yrs of relevant experience.<br><br>Location: Bangalore / Hyderabad</p><p></p><p></p></p>","['IT Consulting', 'Big4', 'IT Infrastructure', 'Solution Architect']",consultant senior consultant cloud strategy big yrs

cloud, Accenture - Manager - Cloud Consulting (8-12 yrs),"<p><p>Location: Gurgaon, Bengaluru, Mumbai<br><br>Qualification: <br><br>Bachelor Degree<br><br>MBA Degree from Tier-1 College (Preferable)<br><br>Minimum of 8-11 years large scale consulting experience and managing teams in a consulting environment or at high tech companies<br><br>Experience: Level - Manager<br><br>- Cloud Assessment: Cloud readiness maturity assessment, Planning and assessment of cloud solutions/platforms, Application assessment and migration planning, Business case development, TCO comparisons and vendor evaluation<br><br>- Cloud Architecture: Develop cloud reference architecture, Define target state cloud architecture, Experience with private and public cloud architectures, pros/cons, and migration considerations.<br><br>Cloud Deployment: Cloud application development, integration and security, Experience in:<br><br>- Cloud platforms - AWS, Azure, Google Cloud Platform, Cloud Foundry, Open Shift, Docker, etc., experience in Virtualization Platforms (e.g. VMWare, Hyper-V, etc.).<br><br>- Cloud Computing and Storage (AWS, Azure)<br><br>- Devops and Agile methodologies, processes and tools<br><br>- Workload Migration Automation Tools (Double-Take, Racemi, etc.)<br><br>- Cloud Management Platforms (vrealize, Gravitant, etc.)<br><br>- Infrastructure provisioning and management (Puppet, Chef, Ansible) <br><br>- Experience in working with large UK&amp;I clients (Preferred)</p></p>","['IT Consulting', 'IT Security', 'Solution Architect', 'IT Infrastructure', 'Agile']",accenture manager cloud consulting yrs

cloud,Huawei Technologies - Senior Business Development Manager - Consumer Business Cloud Services (5-10 yrs),"<p>Job Description:
<br/>
<br/>1. Responsible for business development job of Consumer Business Cloud Services in India/Japan.
<br/>
<br/>2. Responsible for building industry eco system in India/Japan. 
<br/>
<br/>3. Responsible for business collaboration with partners of various industry; including partner sales process, partner engagement, sales pitching, commercial negotiation, project management, agreement management, etc. 
<br/>
<br/>4. Build strong and long term relationship with key partners, understanding partners management hierarchy and decision making chain.
<br/>
<br/>5. Revenue, Quality of Services by Partners and Partner Relationship will be key measurement for KPI. 
<br/>
<br/>6. Report to Regional BD Head. 
<br/>
<br/>Job Requirement:
<br/>
<br/>1. Required to have minimum 5 years of working experience with minimum 3 years of experience in Internet Industry. Expertise in games industry is a plus. 
<br/>
<br/>2. Strong business acumen and good industry networking in India/Japan
<br/>
<br/>3. Able to travel in India/Japan with short notice, and able to stay short/mid terms in regional countries. 
<br/>
<br/>4. Strong communication skill and good presentation skill. 
<br/>
<br/>5. Expertise industry knowledge and know how. Mobile/Digital knowledge is a plus. 
<br/>
<br/>Salary: INR 15,00,000 - 25,00,000 P.A. other - Can be looked- 
<br/>
<br/>Company Profile
<br/>
<br/>Huawei Telecommunications (I) Co. Pvt. Ltd.
<br/>
<br/>Huawei's products and services are available in more than 170 countries, and are used by a third of the world's population, ranking third in the world in mobile phone shipments in 2015. Sixteen R&D centers have been set up in the United States, Germany, Sweden, Russia, India, and China. Huawei Consumer BG is one of Huawei's three business units and covers smartphones, PC and tablets, Wearables and cloud services, etc. Huawei's global network is built on 20 years of expertise in the telecom industry and is dedicated to delivering the latest technological advances to consumers around the world.
<br/>
<br/>Huawei Consumer Business Group (BG) shares its vision with people who pursue their dreams, people who are visionary challengers, people who are proactive with a strong belief in striving to achieve their goals. We are dedicated to bringing the latest technology to consumers and creating extraordinary experiences for people everywhere.
<br/>
<br/>Huawei Consumer Business Group (BG) is committed to focusing on premium products, differentiating innovation, achieving technological breakthroughs, bringing the latest technology to consumers and striving to realize dreams for people everywhere. Committed to offering the best products to consumers all over the world, Huawei Consumer BG provides a range of products, including the D-series for the ""Ultimate Technology""; the P-series for the ""Ultimate Fashion""; the G-series for the ""Ultimate Value"", and the Y-series for the ""Ultimate Accessibility"".
<br/>
<br/>HUAWEI Consumer Business Group Announces 2017 Business Results.
<br/>
<br/>HUAWEI Consumer Business Group today announced its 2017 first half year financial results: sales revenue for the first six months of 2017 increased by 36.2% year-on-year to CNY105.4 billion. Smartphone shipments also rose to 73.01 million, a year-on-year increase of 20.6%.</p>","['IT Sales', 'IT/Telecom Sales', 'IT Services Sales']",huawei technologies senior business development manager consumer business cloud services yrs

cloud,Digital Cloud Consultant - SaaS/PaaS/IaaS - Banking/Mfg/Healthcare  (10-15 yrs),"<p><p>- 10- 15 years of Industry experience covering the cloud landscape across apps, infra, data<br><br>- Possess deeper insight into SaaS/PaaS/IaaS platforms, architectural implications, and offerings for at least two of the cloud service providers (AWS, MS Azure, Google, IBM, Oracle)<br><br>- Have understanding of the pricing of different models &amp; services<br><br>- Should have an understanding of regulations and compliance needs for different industries like Banking, Manufacturing, Healthcare and others <br><br>- Good understanding of DevOps<br><br>- Good understanding of technologies/architecture for cloud first enterprises/applications<br></p></p>","['SaaS', 'IT Consulting', 'Solution Architect', 'IT Jobs in BFSI', 'IT Jobs in Healthcare', 'IT Jobs in Mfg']",digital cloud consultant saas paas iaas banking mfg healthcare yrs

cloud, Accenture - Cloud Manager - Technology Consulting (10-18 yrs),"<p><p>The Technology Consulting business within Capability Network invents the future for clients by providing them with the right guidance, design thinking and innovative solutions for technological transformation.<br><br>- As technology rapidly evolves, it's more important than ever to have an innovation advisor who can create a new vision or put one into place  to solve the client's toughest business problems.<br><br>- Specialize in management or technology consulting to transform the world's leading organizations by building innovative business solutions as their trusted advisor by: <br><br>- Helping Clients: Rethinking IT and Digital ecosystems and innovating to help clients keep pace with fast-changing, customer-driven environments. <br><br>- Enhancing your Skillset : Building expertise and innovating with leading-edge technologies such as Blockchain, Artificial Intelligence and Cloud.<br><br>- Transforming Businesses: Developing customized, next-generation products and services that help clients shift to new business models designed for today's connected landscape of disruptive technologies<br><br>Principal Duties And Responsibilities: <br><br>- Working closely with our clients, Consulting professionals design, build and implement strategies that can help enhance business performance. They develop specialized expertise- strategic, industry, functional, technical- in a diverse project environment that offers multiple opportunities for career growth. <br><br>- The opportunities to make a difference within exciting client initiatives are limitless in this ever-changing business landscape. <br><br>Here are just a few of your day-to-day responsibilities.<br><br>-  Identifying, assessing and solving complex business problems for area of responsibility, where analysis of situations or data requires an in-depth evaluation of variable factors.<br><br>-  Identifying a client's high-level business needs and leading the creation of detailed functional specs and other documentation, such as requirement traceability matrices, work-flow diagrams and use-cases<br><br>-  Designing new business processes based on customer requirements and conduct user review sessions  and run stakeholder agreement meetings applying thought leadership in leading the transformation<br><br>-  Driving enterprise business, application and integration architecture <br><br>-  Helping solve key business problems and challenges by enabling an architecture transformation, painting a picture of, and charting a journey from the current state to a -  to-be-  enterprise environment<br><br>-  Implementing programs/interventions that prepare the organization for implementation of new business processes  <br><br>-  Developing our offerings and assets <br><br>Qualifications:<br><br>-  Bachelor Degree<br><br>-  MBA Degree <br><br>-  Minimum of 10-18 years large scale consulting experience and managing teams in a consulting environment or at high tech companies<br><br>Experience: <br><br>-  Cloud Assessment: Cloud readiness maturity assessment, Planning and assessment of cloud solutions/platforms, Application assessment and migration planning, Business case development, TCO comparisons and vendor evaluation<br><br>-  Cloud Architecture: Develop cloud reference architecture, Define target state cloud architecture, Experience with private and public cloud architectures, pros/cons, and migration considerations.<br><br>&nbsp;Cloud Deployment: Cloud application development, integration and security, Experience in -<br><br>- Cloud platforms - AWS, Azure, Google Cloud Platform, Cloud Foundry, Open Shift, Docker, etc., experience in Virtualization Platforms (e.g. VMWare, Hyper-V, etc.).<br><br>- Cloud Computing and Storage (AWS, Azure)<br><br>- Devops and Agile methodologies, processes and tools<br><br>- Workload Migration Automation Tools (Double-Take, Racemi, etc.)<br><br>- Cloud Management Platforms (vrealize, Gravitant, etc.)<br><br>- Infrastructure provisioning and management (Puppet, Chef, Ansible) <br><br>Experience in working with large UK&amp;I clients (Preferred)<br><br>Key Competencies and Skills:<br><br>-  Strong desire to work in technology-driven business transformation<br><br>-  Strong knowledge of technology trends across IT and digital and how they can be applied to companies to address real world problems and opportunities.<br><br>-  Exceptional interpersonal and presentation skills - ability to convey technology and business value propositions to senior stakeholders<br><br>-  Team oriented and collaborative working style, both with clients and those within the organization.<br><br>-  Capacity to develop high impact thought leadership that articulates a forward thinking view of the market.<br><br>-  Ability to develop and maintain strong internal and client relationships<br><br>-  Proven track record in working creatively and analytically in a problem-solving environment<br><br>-  Proven success in contributing to a team-oriented environment with effective consulting skills<br><br>-  Proven track record to quickly understand the key value drivers of a business, how they impact the scope and approach of the engagement<br><br>-  Flexibility to accommodate client travel requirements<br></p></p>","['IT Consulting', 'Solution Design', 'Solution Architect', 'IT Infrastructure']",accenture cloud manager technology consulting yrs

cloud,Azure Cloud Development Architect - IT (12-25 yrs),"<p><p>We have a leadership opportunity for Azure Cloud Development Architect with one of our client for Bangalore/Mumbai location.<br><br>Job Description:<br><br>- Thorough experience in architecting Enterprise applications on Microsoft Azure PaaS technologies (Azure web app, Logic services, ServiceFabric, etc.) and Azure DB.<br><br>- Understanding of physical infrastructure and its design principles. Should be able to contribute to Infra related discussions of Azure (IaaS).<br><br>- Thorough experience in designing and architecting migration of applications to Azure<br><br>- Worked on multiple Azure cloud assessments and related tools for application migration<br><br>- Hands on experience with Scripting languages like Powershell<br><br>- Strong understanding and hands on experience with WCF, .NET 4.0, ASP.NET MVC, Entity Framework, LINQ, Azure, Appfabric<br><br>- Understanding and experience with API frameworks. Microservices exposure is preferred.<br><br>- Deep experience with design patterns, UML modeling, reusable component development<br><br>- Experience with software engineering best-practices such as build automation, continuous integration and continuous deployment<br><br>- Experience with formal delivery methodologies such RUP, Agile, Scrum, etc.<br><br>- Capable to create innovative solutions and accelerators utilizing the cloud principles<br><br>- Should have experience in creating and delivering end to end solutions on cloud technologies<br></p></p>","['Technical Architect', 'Scrum', 'Agile', 'IT Product Development', '.NET Architect', 'IT Infrastructure', 'CTO']",azure cloud development architect yrs

cloud,Senior Product Manager/Product Manager - SaaS/Cloud (6-8 yrs),"<p>Senior Product Manager/Product Manager - SaaS/Cloud 
<br/>
<br/>Exceptional problem solver : Able to design sound (and simple whenever possible) solutions to complex problems, including the ability to work from scratch
<br/>
<br/>Fast learner :  Ability to step in and develop working knowledge of a technology in a less than average amount of time
<br/>
<br/>Self starter : Motivation, work ethic and ambition to distinguish one's self are key
<br/>
<br/>Business acumen : Ability to think for one's self and make wise decisions without excessive hand-holding
<br/>
<br/>Genuine Interest in Technology : Desire to be on the cutting edge of cloud-based technologies
<br/>
<br/>Genuine Interest in Business Applications : The enterprise software space is exciting, but vast.</p>","['IT Product Management', 'SaaS']",senior product manager product manager saas cloud yrs

cloud,Director - Sales - Marketing Cloud Technology Products -  IIM (10-18 yrs),"<p>Sales Director - Marketing Cloud
<br/>
<br/>ROLE : Sales Director - Global 
<br/>
<br/>LOCATION : Bangalore 
<br/>
<br/>Qualifications: MBA from IIM 
<br/>
<br/>BROAD RESPONSIBILITIES: 
<br/>
<br/>1. Drive revenue and growth for Customer Analytics and Marketing portfolio of products for Retail / CPG domain. 
<br/>
<br/>2. Identify, develop and qualify sales opportunities with the sole focus of meeting revenue targets in a timely, reliable and consistent manner. 
<br/>
<br/>3. Manage the entire Sales life cycle from lead generation to closure. This would include the following: 
<br/>
<br/>a. Market development and lead generation 
<br/>
<br/>b. Prospect development, Identifying and qualifying opportunities 
<br/>
<br/>c. Understanding business and technology scenario/needs and product demonstrations 
<br/>
<br/>d. Preparation of proposals 
<br/>
<br/>e. Final negotiation and closure 
<br/>
<br/>4. Will assist the Sr. Vice President in architecting and implementing strategies for business development and will have complete responsibility inclusive of customer/sector identification, strategy and account management for the region. 
<br/>
<br/>RELEVANT EXPERIENCE FOR THE ROLE: 
<br/>
<br/>1. Possess experience in selling marketing technologies, such a marketing clouds, campaign management, customer analytics etc . 
<br/>
<br/>2. Experience of selling marketing and/or analytics solutions in the SaaS model . 
<br/>
<br/>3. Experienced in engaging with C-level executives in Marketing and technology.. 
<br/>
<br/>4. Should have sold deals with a TCV of about $500K. 
<br/>
<br/>5. Possess strong understanding and relationships in the marketing domain. 
<br/>
<br/>6. Experience of working with geographically diverse/distributed teams. 
<br/>
<br/>ESSENTIAL QUALIFIERS FOR THIS ROLE: 
<br/>
<br/>1. Good knowledge and experience of the Customer and Marketing Analytics markets. 
<br/>
<br/>2. New business hunter mentality with experience of prospecting, marketing support lead generation, direct selling to end user clients and also via partners. 
<br/>
<br/>3. Excellent communicative skills both verbally and in written form. 
<br/>
<br/>4. Self-starter with the ability to work independently. 
<br/>
<br/>5. Has strong executive presence, good customer skills and an extrovert personality.</p>","['IT Sales', 'IT Sales Head', 'SaaS', 'IT Product Sales', 'Solutions Sales', 'Analytics Solutions Sales', 'Account Management']",director sales marketing cloud technology products iim yrs

cloud,CloudCherry - Product Trainer (2-5 yrs),"<p><p></p><p>He/She is responsible for all aspects of CloudCherry worldwide that supports existing and new customers and drives the direction of the design and delivery of all educational content. Responsibilities will include:</p><p><br></p><p>- Build product documentation that would help our customers and internal teams to use our product without any 3rd party assistance.</p><p><br></p><p>- Work with the product team to understand the new features that are developed and update product documentation to educate customers and internal teams.</p><p><br></p><p>- Build ""CloudCherry University"" - one place for customers, partners, and internal employees to learn the product.</p><p><br></p><p>- Deliver education services under the umbrella of ""CloudCherry University"".</p><p><br></p><p>- Assure that all educational material is built and updated in conjunction with each product release.</p><p><br></p><p>- Maintain a training calendar and deliver ongoing training to customers, partners and employees.</p><p><br></p><p>- Work with Executive leadership to define Education Services strategy, define KPIs, track utilization.</p><p><br></p><p>- Develop strong working relationships across product, consulting, sales, client success &amp; marketing teams</p><p><br></p><p>- Contribute to the Product team by offering ongoing inputs and learning from education sessions into usability areas.</p><p><br></p><p>- Continue to drive and improve self-help within regional customers.</p><p><br></p><p> </p><p>Required Skills:</p><p><br></p><p> </p><p>- 2+ years of experience in content writing and content management</p><p><br></p><p>- Prior experience in delivering trainings (classroom and remote) is an advantage</p><p><br></p><p>- Good understanding of the CEM space would be an advantage</p><p><br></p><p>- Good content writing skills will be a big plus</p><p><br></p><p>- Ability to measure and assess the staff training needs on the product</p><p><br></p><p>- Strong communication and interpersonal skills</p><p><br></p><p>- A passion for continuous learning</p><p><br></p><p>- Innovative thinking</p><p><br></p><p>Salary offered: 6 - 8 LPA</p><p></p></p>","['Training and Development', 'Content Management']",cloudcherry product trainer yrs
